gene.ID,logFC,logCPM,F,PValue,FDR,p2n1,p3n1,p4n1,Emerge,p2n2,p3n2,p4n2,primordia,p2n3,p3n3,p4n3,no_primordia,Type,Name,Description
Zm00001d037114,1.802467356,5.924723772,267.4471072,6.95E-09,1.68E-06,18.83192137,18.89349148,26.43382306,21.38641197,38.87940919,31.76959,36.18458344,35.61119421,124.3951858,110.3950523,138.1312382,124.3071587,gene,,LRR receptor-like serine/threonine-protein kinase ERECTA
Zm00001d038211,4.259664441,3.883124793,245.8021608,1.07E-08,2.22E-06,4.560855956,3.172952768,5.087681426,4.27383005,1.281738764,1.601828067,2.548210101,1.810592311,56.46123459,23.29323213,32.44693514,37.40046729,gene,,Anther-specific proline-rich protein APG  
Zm00001d004509,4.063381264,2.852460573,200.4474739,3.03E-08,4.66E-06,0.882746314,0.432675377,0.553008851,0.622810181,0.569661673,1.468342395,1.325069253,1.12102444,9.925833478,22.05423042,25.42780223,19.13595538,gene,, terpene synthase17
Zm00001d015477,5.098797572,3.856631803,197.7051931,3.25E-08,4.81E-06,0.588497543,2.451827139,1.548424782,1.529583154,0.569661673,1.067885378,1.630854465,1.089467172,52.07839903,28.00143863,40.1282504,40.06936268,gene,,Protein ECERIFERUM 3
Zm00001d023604,1.525314862,5.113225861,196.9864031,3.31E-08,4.84E-06,6.032099813,9.086182926,8.405734529,7.841339089,21.64714358,24.69484937,27.21488388,24.51895894,66.51597499,67.02999247,77.87264434,70.4728706,gene,,
Zm00001d050061,1.456333017,5.321779516,193.1424059,3.66E-08,5.06E-06,39.42933536,40.67148548,35.72437175,38.60839753,22.78646692,19.75587949,21.91460687,21.4856511,62.39095329,62.07398563,53.23946092,59.23479995,gene,,Putative SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3-like 3
Zm00001d033876,2.183880112,5.52233898,191.9248231,3.78E-08,5.07E-06,52.08203253,71.5356624,60.05676118,61.2248187,11.53564888,13.08159588,16.51240146,13.70988207,62.39095329,52.16197196,72.70762201,62.42018242,gene,GRF-transcription factor 1,Growth-regulating factor 2
Zm00001d032029,1.513634901,6.267806279,186.647886,4.35E-08,5.67E-06,67.23584425,75.14129055,64.48083198,68.95265559,38.1673321,39.37827332,48.00827831,41.85129458,122.3326749,117.3334619,119.192823,119.6196533,gene,,HEC/Ndc80p family protein  
Zm00001d033709,4.378588967,2.99079237,178.5811814,5.44E-08,6.46E-06,0.294248771,1.153801006,0.884814161,0.777621313,0.569661673,0.934399706,1.426997657,0.977019679,25.26575794,13.75291897,25.03049282,21.34972325,gene,,Basic blue protein
Zm00001d027295,1.225803023,8.830031515,175.956801,5.86E-08,6.80E-06,389.5853733,389.9847402,286.3479828,355.3060321,333.8217404,283.1231109,287.0303858,301.325079,785.0431933,723.3291978,615.6971488,708.02318,gene,beta tubulin1, beta tubulin1
Zm00001d034547,1.935758742,9.689923365,172.5185969,6.47E-08,7.12E-06,233.7806488,232.4909028,195.6545313,220.6420277,454.7324305,374.694282,575.3858409,468.2708512,1932.701576,1820.836912,1610.030165,1787.856218,gene,,
Zm00001d033280,2.361192604,3.160922352,170.086282,6.95E-08,7.39E-06,5.737851041,5.336329655,7.742123909,6.272101535,3.133139202,2.135770756,4.382921375,3.217277111,16.88680761,14.12461948,18.54110579,16.51751096,gene,,IQ calmodulin-binding motif family protein  
Zm00001d037728,1.891769635,5.816924273,161.2328072,9.09E-08,8.78E-06,40.60633045,35.7678312,45.23612398,40.53676188,23.3561286,20.42330786,38.73279354,27.50407666,99.64505556,97.88113502,102.7707007,100.0989638,gene,,Protein kinase superfamily protein
Zm00001d038583,1.268344753,5.530617586,158.8380853,9.80E-08,9.12E-06,35.30985256,38.94078397,33.29113281,35.84725645,26.91651405,30.83519029,32.00551887,29.91907441,70.51208977,71.86209913,74.03198671,72.13539187,gene,,Structural maintenance of chromosomes protein  
Zm00001d010611,1.482310378,4.736992707,157.7404006,1.01E-07,9.20E-06,21.48016031,26.68164828,23.22637173,23.7960601,14.38395725,14.14948126,15.28926061,14.60756637,42.66819326,38.53295315,41.4526151,40.88458717,gene,,Putative mini-chromosome maintenance (MCM) complex protein family  
Zm00001d027288,1.126605209,9.100444849,155.586219,1.09E-07,9.65E-06,489.1885824,544.7383002,424.821399,486.2494272,365.5803787,352.4021748,372.34446,363.4423378,820.4925985,833.3525496,735.2872812,796.3774764,gene,,Immediate-early protein RSP40  
Zm00001d035191,2.262953395,4.247846599,152.5187487,1.20E-07,1.02E-05,17.06642874,17.3070151,18.47049561,17.61464648,5.269370476,5.072455546,9.479341577,6.607055866,35.19159142,28.86873982,31.91718926,31.99250684,gene,umc85a,Tetratricopeptide repeat (TPR)-like superfamily protein
Zm00001d041753,1.536690879,4.782767106,148.3500979,1.38E-07,1.13E-05,32.808738,37.64275784,34.83955759,35.09701781,12.24772597,10.27839676,13.45454934,11.99355736,33.51580135,31.9662441,39.20119511,34.89441352,gene,,SSXT protein  
Zm00001d023692,1.518544291,5.695220374,147.3588511,1.43E-07,1.15E-05,51.19928621,53.36329655,39.37423016,47.97893764,31.75863827,23.22650697,27.82645431,27.60386652,87.39889738,76.6942058,73.76711377,79.28673898,gene,,selenium binding
Zm00001d010200,1.460197095,6.148912753,142.5210407,1.69E-07,1.28E-05,78.71154633,77.30466744,62.49000012,72.83540463,33.89486955,36.04113151,40.77136162,36.90245423,109.8287029,107.5453484,90.18923604,102.5210958,gene,,ATP binding protein  
Zm00001d027394,1.043630155,8.504158515,142.4017132,1.69E-07,1.28E-05,264.0882723,288.4502516,210.5857703,254.3747647,312.7442585,268.9736296,232.2948328,271.3375737,630.4837862,615.9077496,442.2053732,562.8656364,gene,H4C7,Histone H4  
Zm00001d053395,2.26602045,4.494581704,142.6603157,1.68E-07,1.28E-05,15.30093611,20.76841812,16.47966375,17.51633932,6.123862986,7.608683319,11.61983806,8.450794789,42.15256555,36.30275008,44.23378097,40.89636553,gene,,Pectin lyase-like superfamily protein
Zm00001d039489,1.281788101,5.483843417,142.0425656,1.71E-07,1.29E-05,39.72358413,40.52726035,37.16219476,39.13767975,26.63168322,24.82833504,30.88430643,27.44810823,66.90269578,68.64069469,65.15874322,66.90071123,gene,,cytomatrix protein-related
Zm00001d021433,1.281830229,8.896336897,141.193544,1.77E-07,1.31E-05,350.3031623,389.9847402,346.8471511,362.3783512,318.7257061,278.184141,332.490454,309.8001004,778.0822191,832.4852484,658.871438,756.4796352,gene,HMG-transcription factor 13,High mobility group B protein 2
Zm00001d003730,1.485320514,9.109199573,139.7714387,1.86E-07,1.34E-05,364.5742277,413.2049855,305.4820891,361.0871007,324.4223228,316.0940719,375.0965269,338.5376406,1054.974301,998.1397769,815.808655,956.3075776,gene,H3C2,Histone H3.2  
Zm00001d013095,1.603781511,4.194951796,139.0051492,1.91E-07,1.34E-05,16.62505558,13.84561208,15.37364605,15.2814379,8.402509678,9.744454075,10.60055402,9.582505925,30.16422122,24.90393435,32.97668102,29.34827886,gene,,Replication factor C subunit 3
Zm00001d022396,1.47542008,5.368467207,139.2959634,1.89E-07,1.34E-05,29.86625029,33.31600406,26.6550266,29.94576032,22.35922067,22.69256428,28.64188154,24.5645555,68.57848585,70.12749674,67.14529027,68.61709095,gene,,binding
Zm00001d048522,1.372427126,5.208671803,139.0366453,1.91E-07,1.34E-05,26.48238942,22.49911963,23.66877881,24.21676262,22.21680525,22.55907861,26.90909867,23.89499418,54.39872374,62.94128683,68.60209144,61.98070067,gene,,Protein Kinase interacting protein isoform 1%253B Protein Kinase interacting protein isoform 2  
Zm00001d051016,1.493111017,5.981431264,139.3581555,1.88E-07,1.34E-05,57.37851041,61.87257897,53.64185851,57.63098263,30.47689951,31.10216164,41.48486045,34.35464053,101.3208456,92.4295275,96.67862307,96.8096654,gene,,
Zm00001d046254,4.714942398,1.586110667,138.3647931,1.95E-07,1.36E-05,1.912617014,2.019151761,3.207451334,2.379740036,0.284830837,0.133485672,0.203856808,0.207391106,5.800811773,3.717005127,7.548878788,5.688898563,gene,,Anther-specific proline-rich protein APG  
Zm00001d041215,1.917387305,5.328094786,136.3945452,2.10E-07,1.42E-05,32.22024046,33.02755381,30.30488501,31.8508931,14.95361892,14.28296693,26.09367144,18.4434191,64.19565029,64.67588922,79.32944551,69.40032834,gene,,ATP binding protein  
Zm00001d043524,1.301470141,6.37678891,136.5161935,2.09E-07,1.42E-05,53.55327638,55.52667344,51.31922134,53.46639039,50.41505807,50.85804113,67.68046029,56.31785316,136.5124371,126.5020745,152.8316863,138.6153993,gene,,Glucan endo-13-beta-glucosidase 13
Zm00001d033522,5.543421002,4.263045754,134.8099242,2.22E-07,1.47E-05,0.735621928,2.596052265,3.539256644,2.290310279,0.427246255,0.266971345,2.344353293,1.012856964,77.98869161,37.29395145,45.02839979,53.43701428,gene,,GDSL esterase/lipase 
Zm00001d035506,1.888774325,5.042583502,134.8131154,2.22E-07,1.47E-05,35.45697695,32.30642818,29.64127439,32.46822651,11.10840263,12.14719618,18.44904113,13.90154665,49.75807432,52.53367247,53.10702445,51.79959041,gene,,Interactor of constitutive active ROPs 3
